section,stage,start,end,N,win_rate,payoff,roi_mean,roi_median,roi_std,pnl_sum,pnl_mean,lev_nom_mean,lev_act_mean,dd_mean,dd_min,dd_max,px_vol_mean,pnl_growth_mean,max_loss_streak,pearson_dir_pxvol,aligned_rate,aligned_win_rate,aligned_mean_roi,aligned_n,misaligned_win_rate,misaligned_mean_roi,misaligned_n,HHI_abs,top3_pos_share,pair,pair_n,pair_win_rate,pair_mean_roi,pair_pnl_sum,rank_in_stage
stage,前期,2025/5/23 10:56,2025/7/19 13:38,69,0.7647058823529411,2.590371827896539,0.35895797101449284,0.1968,0.7572726029575387,94016.93,1362.5642028985505,10.44927536231884,1.1605970149253733,0.017028985507246377,0,0.157,-0.00045942,0.036869565217391306,3,0.42131390109903455,0.7761194029850746,1,0.5405134615384616,52,0,-0.22244,15,,,,,,,,
stage,中期,2025/7/20 12:40,2025/9/29 21:46,69,0.6521739130434783,2.4882807550994555,0.3354434782608696,0.0701,0.8505466710057221,555986.85,8057.780434782609,9.681159420289855,0.5810144927536233,0.009971014492753625,0,0.08800000000000001,0.003537681159420292,0.03305797101449275,4,0.3709125076370259,0.6521739130434783,1,0.6546666666666667,45,0,-0.2631,24,,,,,,,,
stage,后期,2025/9/29 21:47,2025/11/15 11:51,69,0.6086956521739131,1.53349081623842,0.20927826086956514,0.017,0.8139599640956541,31581.200000000004,457.69855072463776,16.82608695652174,0.4228985507246378,0.0681159420289855,0,0.157,-0.026594203,0.0007681159420289858,3,0.28717314415618317,0.6119402985074627,1,0.6064097560975609,41,0,-0.4007,26,,,,,,,,
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,BONK-USDT-SWAP,12,0.9166666666666666,0.8937666666666666,38593,1
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,WIF-USDT-SWAP,21,0.7619047619047619,0.25239523809523806,21962.699999999997,2
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,PNUT-USDT-SWAP,1,1,2.8056,12600,3
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,MOODENG-USDT-SWAP,2,0.5,0.39375,7095,4
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,TAO-USDT-SWAP,4,1,0.22847499999999998,3120,5
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,HYPE-USDT-SWAP,2,0.5,0.4304,3076,6
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,PEOPLE-USDT-SWAP,2,0.5,0.33120000000000005,1729,7
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,ETH-USDT-250606,2,1,0.5386,1708,8
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,ETH-USDT-SWAP,5,0.6,0.05286,1516.7,9
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,COMP-USDT-SWAP,1,1,0.4386,1455,10
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,BOME-USDT-SWAP,5,0.6,0.19232,927,11
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,SUSHI-USDT-SWAP,2,1,0.049800000000000004,875,12
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,ETH-USDT-250926,1,1,0.48590000000000005,660,13
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,BTC-USDT-SWAP,2,1,0.0377,592.52,14
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,AIXBT-USDT-SWAP,2,0.5,0.004699999999999999,46,15
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,JUP-USDT-SWAP,1,0,-0.0715,-180,16
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,AAVE-USDT-SWAP,2,0.5,-0.18365,-842,17
symbol,前期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23106538781760919,0.7623886051011756,ENS-USDT-SWAP,2,0.5,-0.1304,-916.99,18
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,ETH-USDT-251226,3,0.6666666666666666,1.1581666666666668,155788.9,1
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,XPL-USDT-SWAP,3,1,1.9841666666666666,95254,2
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,ETH-USDT-SWAP,8,0.75,0.1295625,81307,3
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,BTC-USDT-SWAP,1,1,0.4413,63600,4
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,PENGU-USDT-SWAP,11,0.6363636363636364,0.28406363636363635,61806,5
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,SOL-USDT-SWAP,6,0.6666666666666666,0.1662,55594,6
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,BONK-USDT-SWAP,9,0.6666666666666666,0.2688111111111111,26818,7
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,ASTER-USDT-SWAP,2,0.5,0.8401500000000001,24944,8
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,WLFI-USDT-SWAP,1,1,2.2484,21800,9
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,WIF-USDT-SWAP,13,0.5384615384615384,0.10200000000000002,17431.85,10
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,HYPE-USDT-SWAP,1,1,0.2183,2940,11
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,DOGE-USDT-SWAP,1,1,0.2922,1728,12
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,CFX-USDT-SWAP,3,0.6666666666666666,0.5394333333333333,481,13
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,PEOPLE-USDT-SWAP,1,1,0.0137,40,14
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,YGG-USDT-SWAP,1,1,0.0039000000000000003,34.1,15
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,LTC-USDT-SWAP,1,0,-0.0289,-96,16
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,ARB-USDT-SWAP,3,0.3333333333333333,-0.293966667,-1184,17
symbol,中期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1268386757915737,0.5452230546985947,AVAX-USDT-SWAP,1,0,-0.7907,-52300,18
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,ETH-USDT-SWAP,14,0.7142857142857143,-0.098078571,34918.04,1
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,WIF-USDT-SWAP,4,0.75,1.342675,31335,2
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,PENGU-USDT-SWAP,3,0.6666666666666666,1.2963000000000002,22244,3
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,BONK-USDT-SWAP,3,1,1.0663666666666665,21270,4
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,BNB-USDT-SWAP,5,0.4,0.28204,21165,5
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,AR-USDT-SWAP,1,1,2.0362999999999998,1386,6
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,ASTER-USDT-SWAP,2,1,0.2,1104.3,7
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,PEPE-USDT-SWAP,1,1,0.053399999999999996,120,8
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,ETH-USDT-260327,1,1,0.0040999999999999995,16,9
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,GIGGLE-USDT-SWAP,1,1,0.0085,6.46,10
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,OKB-USDT-SWAP,1,0,-0.2678,-960,11
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,PEOPLE-USDT-SWAP,1,0,-1.3073,-1022,12
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,BIO-USDT-SWAP,1,0,-0.8139,-1719,13
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,ZEC-USDT-SWAP,4,0.75,0.3052,-3894.6,14
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,XPL-USDT-SWAP,5,0.4,-0.0068,-10685,15
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,BTC-USDT-SWAP,11,0.45454545454545453,0.06838181818181818,-41344,16
symbol,后期,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1304423988199403,0.6625775653465585,SOL-USDT-SWAP,11,0.5454545454545454,-0.009809091,-42359,17
